
Summary,EXAMPLE
Emissions

Cost,32242.6

TID Demand

,EXAMPLE
Fuel,2019,2020,2021,2022
PWRWND,GAS,SD,0,0,0,0
PWRWND,GAS,SN,0,0,0,0
PWRWND,GAS,WD,0,0,0,0
PWRWND,GAS,WN,0,0,0,0
PWRWND,HYD,SD,0,0,0,0
PWRWND,HYD,SN,0,0,0,0
PWRWND,HYD,WD,0,0,0,0
PWRWND,HYD,WN,0,0,0,0
PWRWND,SOL,SD,0,0,0,0
PWRWND,SOL,SN,0,0,0,0
PWRWND,SOL,WD,0,0,0,0
PWRWND,SOL,WN,0,0,0,0
PWRWND,WAT,SD,0,0,0,0
PWRWND,WAT,SN,0,0,0,0
PWRWND,WAT,WD,0,0,0,0
PWRWND,WAT,WN,0,0,0,0
PWRWND,WND,SD,0,0,0,0
PWRWND,WND,SN,0,0,0,0
PWRWND,WND,WD,0,0,0,0
PWRWND,WND,WN,0,0,0,0

Use By Technology (Energy Units)

,EXAMPLE
Technology,Fuel,Timeslice,2019,2020,2021,2022
DEMPWRCOA,COA,SD,0,0,0,0
DEMPWRCOA,COA,SN,0,0,0,0
DEMPWRCOA,COA,WD,0,0,0,0
DEMPWRCOA,COA,WN,0,0,0,0
DEMPWRCOA,ELC001,SD,0,0,0,0
DEMPWRCOA,ELC001,SN,0,0,0,0
DEMPWRCOA,ELC001,WD,0,0,0,0
