Optimal - objective value 1897475675.46661330
   2559 NewCapacity(region,XKTRDRSH00,2031)                                               0.68                      0
   2560 NewCapacity(region,XKTRDRSH00,2032)                                               0.68                      0
   2561 NewCapacity(region,XKTRDRSH00,2033)                                               0.68                      0
   2562 NewCapacity(region,XKTRDRSH00,2034)                                               0.68                      0
   2563 NewCapacity(region,XKTRDRSH00,2035)                                               0.68                      0
   2564 NewCapacity(region,XKTRDRSH00,2036)                                               0.68                      0
   2565 NewCapacity(region,XKTRDRSH00,2037)                                               0.68                      0
   2566 NewCapacity(region,XKTRDRSH00,2038)                                               0.68                      0
   2567 NewCapacity(region,XKTRDRSH00,2039)                                               0.68                      0
   2568 NewCapacity(region,XKTRDRSH00,2040)                                               0.68                      0
   2569 NewCapacity(region,XKTRDRSH00,2041)                                               0.68                      0
   2570 NewCapacity(region,XKTRDRSH00,2042)                                               0.68                      0
   2571 NewCapacity(region,XKTRDRSH00,2043)                                               0.68                      0
   2572 NewCapacity(region,XKTRDRSH00,2044)                                               0.68                      0
   2573 NewCapacity(region,XKTRDRSH00,2045)                                               0.68                      0
   3677 RateOfActivity(region,12,ALTRDMEH00,1,2020)                                  4.2387849                      0
   3694 RateOfActivity(region,5,ALTRDMEH00,1,2021)                                   1.9787538                      0
   3695 RateOfActivity(region,6,ALTRDMEH00,1,2021)                                   2.0762646                      0
   3701 RateOfActivity(region,12,ALTRDMEH00,1,2021)                                 0.25075061                      0
   3719 RateOfActivity(region,6,ALTRDMEH00,1,2022)                                   1.3663841                      0
   3724 RateOfActivity(region,11,ALTRDMEH00,1,2022)                                 0.99926222                      0
   3725 RateOfActivity(region,12,ALTRDMEH00,1,2022)                                  1.9494587                      0
   3744 RateOfActivity(region,7,ALTRDMEH00,1,2023)                                   1.8182915                      0
   3747 RateOfActivity(region,10,ALTRDMEH00,1,2023)                                  2.0141692                      0
   3749 RateOfActivity(region,12,ALTRDMEH00,1,2023)                                 0.40632418                      0
   3763 RateOfActivity(region,2,ALTRDMEH00,1,2024)                                   2.0425686                      0
   3770 RateOfActivity(region,9,ALTRDMEH00,1,2024)                                   1.4680637                      0
   3772 RateOfActivity(region,11,ALTRDMEH00,1,2024)                                  1.0056505                      0
   3793 RateOfActivity(region,8,ALTRDMEH00,1,2025)                                   3.0634126                      0
   3795 RateOfActivity(region,10,ALTRDMEH00,1,2025)                                  1.1753723                      0
   3813 RateOfActivity(region,4,ALTRDMEH00,1,2026)                                   4.3800949                      0
   3835 RateOfActivity(region,2,ALTRDMEH00,1,2027)                                 0.081486871                      0
   3836 RateOfActivity(region,3,ALTRDMEH00,1,2027)                                   2.0751232                      0
   3839 RateOfActivity(region,6,ALTRDMEH00,1,2027)                                  0.43747949                      0
   3844 RateOfActivity(region,11,ALTRDMEH00,1,2027)                                  1.7222593                      0
   3866 RateOfActivity(region,9,ALTRDMEH00,1,2028)                                  0.65094639                      0
   3869 RateOfActivity(region,12,ALTRDMEH00,1,2028)                                  3.6088392                      0
   3884 RateOfActivity(region,3,ALTRDMEH00,1,2029)                                  0.64788573                      0
   3887 RateOfActivity(region,6,ALTRDMEH00,1,2029)                                   3.7106104                      0
   3907 RateOfActivity(region,2,ALTRDMEH00,1,2030)                                    2.112183                      0
   3916 RateOfActivity(region,11,ALTRDMEH00,1,2030)                                 0.26501153                      0
   3917 RateOfActivity(region,12,ALTRDMEH00,1,2030)                                   2.074569                      0
   3931 RateOfActivity(region,2,ALTRDMEH00,1,2031)                                   2.1465469                      0
   3932 RateOfActivity(region,3,ALTRDMEH00,1,2031)                                  0.60004255                      0
   3937 RateOfActivity(region,8,ALTRDMEH00,1,2031)                                   1.0683221                      0
   3941 RateOfActivity(region,12,ALTRDMEH00,1,2031)                                 0.63162806                      0
   3956 RateOfActivity(region,3,ALTRDMEH00,1,2032)                                  0.60540082                      0
   3960 RateOfActivity(region,7,ALTRDMEH00,1,2032)                                   0.5761361                      0
   3962 RateOfActivity(region,9,ALTRDMEH00,1,2032)                                   3.0687451                      0
   3965 RateOfActivity(region,12,ALTRDMEH00,1,2032)                                0.087506289                      0
   3979 RateOfActivity(region,2,ALTRDMEH00,1,2033)                                    2.203002                      0
   3983 RateOfActivity(region,6,ALTRDMEH00,1,2033)                                   2.0544418                      0
   3988 RateOfActivity(region,11,ALTRDMEH00,1,2033)                                 0.26953585                      0
   4007 RateOfActivity(region,6,ALTRDMEH00,1,2034)                                   3.2482378                      0
   4008 RateOfActivity(region,7,ALTRDMEH00,1,2034)                                   0.5893851                      0
   4010 RateOfActivity(region,9,ALTRDMEH00,1,2034)                                  0.23614856                      0
   4012 RateOfActivity(region,11,ALTRDMEH00,1,2034)                                 0.27118661                      0
   4013 RateOfActivity(region,12,ALTRDMEH00,1,2034)                                0.014988566                      0
   4031 RateOfActivity(region,6,ALTRDMEH00,1,2035)                                   3.2259742                      0
   4036 RateOfActivity(region,11,ALTRDMEH00,1,2035)                                 0.27283738                      0
   4037 RateOfActivity(region,12,ALTRDMEH00,1,2035)                                 0.85285146                      0
   4056 RateOfActivity(region,7,ALTRDMEH00,1,2036)                                  0.60263411                      0
   4058 RateOfActivity(region,9,ALTRDMEH00,1,2036)                                   1.1766108                      0
   4061 RateOfActivity(region,12,ALTRDMEH00,1,2036)                                  2.4974996                      0
   4076 RateOfActivity(region,3,ALTRDMEH00,1,2037)                                  0.64103326                      0
   4084 RateOfActivity(region,11,ALTRDMEH00,1,2037)                                  1.0995388                      0
   4085 RateOfActivity(region,12,ALTRDMEH00,1,2037)                                   2.533686                      0
   4099 RateOfActivity(region,2,ALTRDMEH00,1,2038)                                   2.3662306                      0
   4100 RateOfActivity(region,3,ALTRDMEH00,1,2038)                                    0.647999                      0
   4105 RateOfActivity(region,8,ALTRDMEH00,1,2038)                                   1.1682774                      0
   4107 RateOfActivity(region,10,ALTRDMEH00,1,2038)                                 0.28529493                      0
